"カテゴリ","セットID","順番","セリフ","有効","備考"
"ボトルメールを出したあと","bottle_after_01","1","誰かに届くといいね。","TRUE",
"ボトルメールを出したあと","bottle_after_01","2","あの瓶、今ごろどの辺りを流れているのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_01","3","遠くで誰かが見つけてくれるかもしれないね。","TRUE",
"ボトルメールを出したあと","bottle_after_02","1","流したら、少しだけ気持ちが軽くなった？","TRUE",
"ボトルメールを出したあと","bottle_after_02","2","言葉にすると、少し違って見えることもあるよね。","TRUE",
"ボトルメールを出したあと","bottle_after_02","3","今日はここに置いていっていいんだよ。","TRUE",
"ボトルメールを出したあと","bottle_after_03","1","きれいに流れていったね。","TRUE",
"ボトルメールを出したあと","bottle_after_03","2","途中で葉っぱや小枝とすれ違うのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_03","3","あとは瓶に任せてみようか。","TRUE",
"ボトルメールを出したあと","bottle_after_04","1","ちゃんと瓶の中に入っていったよ。","TRUE",
"ボトルメールを出したあと","bottle_after_04","2","書き終わるまで、少し迷っていたのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_04","3","うまく書けなくても、ちゃんと旅は始まったよ。","TRUE",
"ボトルメールを出したあと","bottle_after_05","1","今の風、瓶を少し押してくれたみたい。","TRUE",
"ボトルメールを出したあと","bottle_after_05","2","森の外まで運んでくれるかな。","TRUE",
"ボトルメールを出したあと","bottle_after_05","3","どこかで、そっと拾ってもらえるといいね。","TRUE",
"ボトルメールを出したあと","bottle_after_06","1","あっという間に見えなくなったね。","TRUE",
"ボトルメールを出したあと","bottle_after_06","2","まだ近くを、ゆっくり流れているのかもしれないよ。","TRUE",
"ボトルメールを出したあと","bottle_after_06","3","見えなくなってからが、瓶の旅の始まりなのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_07","1","言いたかったこと、少し書けた？","TRUE",
"ボトルメールを出したあと","bottle_after_07","2","全部書かなくてもいいんだよ。","TRUE",
"ボトルメールを出したあと","bottle_after_07","3","続きは、また別の瓶に入れてもいいからね。","TRUE",
"ボトルメールを出したあと","bottle_after_08","1","今日は静かに流れていったね。","TRUE",
"ボトルメールを出したあと","bottle_after_08","2","瓶にも、急ぎたい日とのんびりしたい日があるのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_08","3","今日はきっと、ゆっくり旅をする日だね。","TRUE",
"ボトルメールを出したあと","bottle_after_09","1","あの瓶、少しうれしそうに揺れていたよ。","TRUE",
"ボトルメールを出したあと","bottle_after_09","2","新しい景色を見るのを楽しみにしているのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_09","3","長い旅になっても、きっと退屈しないね。","TRUE",
"ボトルメールを出したあと","bottle_after_10","1","ひとつ、森の外へ送り出せたね。","TRUE",
"ボトルメールを出したあと","bottle_after_10","2","書いた言葉も、風に当たると少し軽くなるのかな。","TRUE",
"ボトルメールを出したあと","bottle_after_10","3","また書きたくなったら、ここへ来てね。","TRUE",
"願い星を飛ばしたあと","wish_after_01","1","今日はいつもより遠くまで飛んだね。","TRUE",
"願い星を飛ばしたあと","wish_after_01","2","まだ小さく光っているのが見えるよ。","TRUE",
"願い星を飛ばしたあと","wish_after_01","3","朝まで、ゆっくり空を旅するのかな。","TRUE",
"願い星を飛ばしたあと","wish_after_02","1","願いごと、夜空に預けられたね。","TRUE",
"願い星を飛ばしたあと","wish_after_02","2","空へ飛ばすと、少しだけ静かな気持ちになるね。","TRUE",
"願い星を飛ばしたあと","wish_after_02","3","あとは星に任せてみようか。","TRUE",
"願い星を飛ばしたあと","wish_after_03","1","今の流れ星、何人の人が見たかな。","TRUE",
"願い星を飛ばしたあと","wish_after_03","2","同じ空を見ていた人が、どこかにいたかもしれないね。","TRUE",
"願い星を飛ばしたあと","wish_after_03","3","その人も、何か願ったのかな。","TRUE",
"願い星を飛ばしたあと","wish_after_04","1","ずいぶん高くまで飛んでいったよ。","TRUE",
"願い星を飛ばしたあと","wish_after_04","2","雲の上まで行ったのかもしれないね。","TRUE",
"願い星を飛ばしたあと","wish_after_04","3","星の近くは、どんな音がするんだろう。","TRUE",
"願い星を飛ばしたあと","wish_after_05","1","今夜の風は、願いを運ぶのが上手みたい。","TRUE",
"願い星を飛ばしたあと","wish_after_05","2","少しも迷わず飛んでいったね。","TRUE",
"願い星を飛ばしたあと","wish_after_05","3","遠くまで届くといいね。","TRUE",
"願い星を飛ばしたあと","wish_after_06","1","星がひとつ増えたみたいに見えたよ。","TRUE",
"願い星を飛ばしたあと","wish_after_06","2","どれが今飛ばした星か、もう分からないね。","TRUE",
"願い星を飛ばしたあと","wish_after_06","3","夜空に混ざって、そっと光っているのかな。","TRUE",
"願い星を飛ばしたあと","wish_after_07","1","願いごとって、不思議だね。","TRUE",
"願い星を飛ばしたあと","wish_after_07","2","空へ飛ばしたあとでは、少し違って見えるね。","TRUE",
"願い星を飛ばしたあと","wish_after_07","3","いつか思い出したころに、叶うといいね。","TRUE",
"願い星を飛ばしたあと","wish_after_08","1","今の星、少しだけ振り返ったように見えたよ。","TRUE",
