ID	カテゴリ	呼び名 （空欄＝おさんぽさん）	願いごと本文	筆跡テンプレート	願い星対象	表示履歴	備考
WS001	小さな願い		今夜のお茶が最後まで温かいままでありますように	round	TRUE		
WS002	小さな願い		ポケットの中の小さな安心がなくなりませんように	quiet	TRUE		
WS003	小さな願い	月あかりさん	朝のパンが少しだけ上手に焼けるといいな	child	TRUE		
WS004	小さな願い		失くしたと思った栞がひょっこり見つかりますように	round	TRUE		
WS005	小さな願い		靴ひもがほどける前に気づけますように	quiet	TRUE		
WS006	小さな願い	夜ふかしさん	窓辺の花が明日も静かに咲いていますように	child	TRUE		
WS007	小さな願い		お気に入りの席がそっと空いているといいな	round	TRUE		
WS008	小さな願い		小さな用事が今日はひとつ片づきますように	quiet	TRUE		
WS009	小さな願い	星を見ていた人	甘い匂いに気づける余裕がありますように	child	TRUE		
WS010	小さな願い		手紙を書く時間が少しだけ残りますように	round	TRUE		
WS011	小さな願い		湯気の向こうで考えごとが丸くなりますように	quiet	TRUE		
WS012	小さな願い	パンのひと	今日はスプーンを落としませんように	child	TRUE		
WS013	小さな願い		読みかけの本がやさしい場面で待っていますように	round	TRUE		
WS014	小さな願い		帰り道の明かりがちょうどよく灯っていますように	quiet	TRUE		
WS015	小さな願い	どんぐりぼうし	引き出しの奥から小さな勇気が出てきますように	child	TRUE		
WS016	小さな願い		明日の靴下が左右すぐ見つかるといいな	round	TRUE		
WS017	小さな願い		机の上が少しだけ広くなりますように	quiet	TRUE		
WS018	小さな願い	眠れない子	お気に入りのカップにひびが入りませんように	child	TRUE		
WS019	小さな願い		小さなメモを風が連れていきませんように	round	TRUE		
WS020	小さな願い		時計の音が今日はやさしく聞こえますように	quiet	TRUE		
WS021	小さな願い	森のよりみち	眠る前にひとつだけ笑えることがありますように	child	TRUE		
WS022	小さな願い		なくしたボタンが変な場所で見つかるといいな	round	TRUE		
WS023	小さな願い		雨の日の傘がちゃんとそこにありますように	quiet	TRUE		
WS024	小さな願い	こぐま	ひと口目のスープが熱すぎませんように	child	TRUE		
WS025	小さな願い		小さな約束を忘れずに持っていられますように	round	TRUE		
WS026	小さな願い		髪のはねが今日は少しおとなしくなりますように	quiet	TRUE		
WS027	小さな願い	みずたま	夕方の空を見上げる時間がありますように	child	TRUE		
WS028	小さな願い		足もとの石につまずきませんように	round	TRUE		
WS029	小さな願い		お皿の上に好きなものが少し残りますように	quiet	TRUE		
WS030	小さな願い	また明日	静かな音楽がちょうどよく流れますように	child	TRUE		
WS031	小さな願い		急いだ心がひと呼吸ぶん戻れますように	round	TRUE		
WS032	小さな願い		小さな返事を焦らず待てますように	quiet	TRUE		
WS033	小さな願い	雨音さん	焼き菓子の角が割れませんように	child	TRUE		
WS034	小さな願い		鉛筆の先が最後まで機嫌よくありますように	round	TRUE		
WS035	小さな願い		窓を開けたらいい風が入ってきますように	quiet	TRUE		
WS036	小さな願い	小さなランタン	大事な紙をどこかへ置き忘れませんように	child	TRUE		
WS037	小さな願い		ひざかけが今夜もあたたかくありますように	round	TRUE		
WS038	小さな願い		小さな灯りを消す前にほっとできますように	quiet	TRUE		
WS039	小さな願い	風待ちさん	引っかかった言葉がほどけますように	child	TRUE		
WS040	小さな願い		今日は爪先まで冷えませんように	round	TRUE		
WS041	小さな願い		机のすみの星形がなくなりませんように	quiet	TRUE		
WS042	小さな願い	お茶の時間	お茶の葉がきれいに開きますように	child	TRUE		
WS043	小さな願い		夜道の角で月に会えますように	round	TRUE		
WS044	小さな願い		明日の朝、鍵がすぐ見つかるといいな	quiet	TRUE		
WS045	小さな願い	雲を見ていた人	小さなため息が星にまぎれますように	child	TRUE		
WS046	小さな願い		古いノートを開く勇気が少しありますように	round	TRUE		
WS047	小さな願い		お気に入りの香りを忘れませんように	quiet	TRUE		
WS048	小さな願い	白い息さん	手のひらの冷たさがゆっくりほどけますように	child	TRUE		
WS049	小さな願い		今日は急須のふたを落としませんように	round	TRUE		
WS050	小さな願い		ふと見た時計が思ったより早いといいな	quiet	TRUE		
WS051	小さな願い	窓辺のしずく	小さな買い物を楽しく選べますように	child	TRUE		
WS052	小さな願い		道端の花に気づける歩幅でいられますように	round	TRUE		
WS053	小さな願い		夜の部屋が少しだけ片づきますように	quiet	TRUE		
WS054	小さな願い	三日月メモ	言いそびれた一言をしまっておけますように	child	TRUE		
WS055	小さな願い		星を見る時間が一分だけ増えますように	round	TRUE		
WS056	小さな願い		あたたかい飲みものをこぼしませんように	quiet	TRUE		
WS057	小さな願い	毛布のすみ	帰り道の坂が今日は短く感じますように	child	TRUE		
WS058	小さな願い		本のページが指にやさしくめくれますように	round	TRUE		
WS059	小さな願い		小さな失敗を寝る前に手放せますように	quiet	TRUE		
WS060	小さな願い	星屑ポケット	お気に入りの毛布が逃げませんように	child	TRUE		
WS061	小さな願い		探しものが探していない時に出てきますように	round	TRUE		
WS062	小さな願い		今日の月が少し近く見えるといいな	quiet	TRUE		
WS063	小さな願い	夜風の便り	空っぽの瓶にいい匂いが残りますように	child	TRUE		
WS064	小さな願い		小さな音で夜が落ち着きますように	round	TRUE		
WS065	小さな願い		明かりを消す前の静けさが守られますように	quiet	TRUE		
WS066	小さな願い	灯り待ち	丸いビスケットが割れずに残りますように	child	TRUE		
WS067	小さな願い		ポケットの小石をなくしませんように	round	TRUE		
WS068	小さな願い		星風がカーテンをそっと揺らしますように	quiet	TRUE		
WS069	小さな願い	銀のスプーン	もう一度だけ、深呼吸がうまくできますように	child	TRUE		
WS070	小さな願い		小さな願いを小さいまま抱けますように	round	TRUE		
WS071	明日のこと		明日は今日より少し静かに歩けますように	careful	TRUE		
WS072	明日のこと	ねむり草	明日は朝の光を少し好きになれますように	round	TRUE		
WS073	明日のこと		明日の支度が今夜のうちに整いますように	quiet	TRUE		
WS074	明日のこと		明日は急がずにお茶を飲めるといいな	careful	TRUE		
