# Mint / Ver.1.1
TeaMerry_Dialogue_Spreadsheet_Template Ver.1.1										
運用ルール	Markdownには設計のみを書く。セリフ本文はスプレッドシートのみ管理する。列構成11項目は変更しない。									
空欄ルール	場所が空欄 → 全場所共通。条件が空欄 → 条件なし（常時表示候補）。									
条件ルール	条件はカンマ区切りで複数指定できます。複数条件はすべて一致したときのみ表示候補。例: 夜,霧 / 返信あり,星風テラス / 初回訪問,春									
優先度	100=絶対に表示したい / 90=特殊条件 / 80=イベント / 70=時間帯・天候 / 60=場所限定 / 50=通常会話									
表示ルール	表示条件に一致したセリフのみ表示候補にする。候補が複数ある場合のみランダム表示する。									
セリフID	表示種別	キャラクター	場所	章	条件	トーン	優先度	セリフ本文	有効	備考
M001	character	ミント	森	お迎え	初回訪問	明るい	100		ON	テンプレート行。セリフ本文は未入力。

# Lil / Ver.1.1
TeaMerry_Dialogue_Spreadsheet_Template Ver.1.1										
運用ルール	Markdownには設計のみを書く。セリフ本文はスプレッドシートのみ管理する。列構成11項目は変更しない。									
空欄ルール	場所が空欄 → 全場所共通。条件が空欄 → 条件なし（常時表示候補）。									
条件ルール	条件はカンマ区切りで複数指定できます。複数条件はすべて一致したときのみ表示候補。例: 夜,霧 / 返信あり,星風テラス / 初回訪問,春									
優先度	100=絶対に表示したい / 90=特殊条件 / 80=イベント / 70=時間帯・天候 / 60=場所限定 / 50=通常会話									
表示ルール	表示条件に一致したセリフのみ表示候補にする。候補が複数ある場合のみランダム表示する。									
セリフID	表示種別	キャラクター	場所	章	条件	トーン	優先度	セリフ本文	有効	備考
R001	character	リル	星風テラス	お迎え	通常	わくわく	100		ON	テンプレート行。セリフ本文は未入力。

# Elder / Ver.1.1
TeaMerry_Dialogue_Spreadsheet_Template Ver.1.1										
運用ルール	Markdownには設計のみを書く。セリフ本文はスプレッドシートのみ管理する。列構成11項目は変更しない。									
空欄ルール	場所が空欄 → 全場所共通。条件が空欄 → 条件なし（常時表示候補）。									
条件ルール	条件はカンマ区切りで複数指定できます。複数条件はすべて一致したときのみ表示候補。例: 夜,霧 / 返信あり,星風テラス / 初回訪問,春									
優先度	100=絶対に表示したい / 90=特殊条件 / 80=イベント / 70=時間帯・天候 / 60=場所限定 / 50=通常会話									
表示ルール	表示条件に一致したセリフのみ表示候補にする。候補が複数ある場合のみランダム表示する。									
セリフID	表示種別	キャラクター	場所	章	条件	トーン	優先度	セリフ本文	有効	備考
E001	character	エルダー	忘れじの洞窟	通常	夜	静か	100		ON	テンプレート行。セリフ本文は未入力。

# Maroud / Ver.1.1
TeaMerry_Dialogue_Spreadsheet_Template Ver.1.1										
運用ルール	Markdownには設計のみを書く。セリフ本文はスプレッドシートのみ管理する。列構成11項目は変更しない。									
空欄ルール	場所が空欄 → 全場所共通。条件が空欄 → 条件なし（常時表示候補）。									
条件ルール	条件はカンマ区切りで複数指定できます。複数条件はすべて一致したときのみ表示候補。例: 夜,霧 / 返信あり,星風テラス / 初回訪問,春									
優先度	100=絶対に表示したい / 90=特殊条件 / 80=イベント / 70=時間帯・天候 / 60=場所限定 / 50=通常会話									
表示ルール	表示条件に一致したセリフのみ表示候補にする。候補が複数ある場合のみランダム表示する。									
セリフID	表示種別	キャラクター	場所	章	条件	トーン	優先度	セリフ本文	有効	備考
MAR001	character	マロウド	まろうどティールーム	お迎え	通常	穏やか	100		ON	テンプレート行。セリフ本文は未入力。

# Forest / Ver.1.1
TeaMerry_Dialogue_Spreadsheet_Template Ver.1.1										
運用ルール	Markdownには設計のみを書く。セリフ本文はスプレッドシートのみ管理する。列構成11項目は変更しない。									
空欄ルール	場所が空欄 → 全場所共通。条件が空欄 → 条件なし（常時表示候補）。									
条件ルール	条件はカンマ区切りで複数指定できます。複数条件はすべて一致したときのみ表示候補。例: 夜,霧 / 返信あり,星風テラス / 初回訪問,春									
優先度	100=絶対に表示したい / 90=特殊条件 / 80=イベント / 70=時間帯・天候 / 60=場所限定 / 50=通常会話									
表示ルール	表示条件に一致したセリフのみ表示候補にする。候補が複数ある場合のみランダム表示する。									
セリフID	表示種別	キャラクター	場所	章	条件	トーン	優先度	セリフ本文	有効	備考
F001	forest_whisper	Forest	森	通常	夕方	神秘的	100		ON	森のささやき用。セリフ本文は未入力。

# Other / Ver.1.1
TeaMerry_Dialogue_Spreadsheet_Template Ver.1.1										
運用ルール	Markdownには設計のみを書く。セリフ本文はスプレッドシートのみ管理する。列構成11項目は変更しない。									
空欄ルール	場所が空欄 → 全場所共通。条件が空欄 → 条件なし（常時表示候補）。									
条件ルール	条件はカンマ区切りで複数指定できます。複数条件はすべて一致したときのみ表示候補。例: 夜,霧 / 返信あり,星風テラス / 初回訪問,春									
優先度	100=絶対に表示したい / 90=特殊条件 / 80=イベント / 70=時間帯・天候 / 60=場所限定 / 50=通常会話									
表示ルール	表示条件に一致したセリフのみ表示候補にする。候補が複数ある場合のみランダム表示する。									
セリフID	表示種別	キャラクター	場所	章	条件	トーン	優先度	セリフ本文	有効	備考
O001	system	その他	森	特殊条件	通常	不思議	100		ON	その他キャラクター・システム用。セリフ本文は未入力。
